hidden_size,lr,dropout,l2,initial_validation_accuracy,best_validation_accuracy,test_accuracy_at_best_validation,test_loss_at_best_validation,train_accuracy_at_best_validation,train_loss_at_best_validation
16,0.01,0.0,0.0,0.034038,0.720288,0.713654,0.983630,0.725798,0.922649
16,0.01,0.0,0.0001,0.034038,0.747788,0.747452,0.865712,0.750904,0.819762
16,0.01,0.3,0.0,0.034038,0.665000,0.657788,1.184488,0.671721,1.125022
16,0.01,0.3,0.0001,0.034038,0.683413,0.681635,1.134243,0.687779,1.105245
16,0.001,0.0,0.0,0.034038,0.784423,0.784279,0.747071,0.796346,0.700662
16,0.001,0.0,0.0001,0.034038,0.778846,0.780192,0.756271,0.792635,0.716162
16,0.001,0.3,0.0,0.034038,0.727163,0.725625,0.972128,0.736298,0.938863
16,0.001,0.3,0.0001,0.034038,0.725577,0.726635,0.974847,0.733231,0.948941
16,0.0001,0.0,0.0,0.034038,0.716010,0.714423,0.993574,0.723029,0.974309
16,0.0001,0.0,0.0001,0.034038,0.715769,0.713654,0.996296,0.722500,0.977696
16,0.0001,0.3,0.0,0.034038,0.675962,0.674231,1.161855,0.680058,1.147335
16,0.0001,0.3,0.0001,0.034038,0.675769,0.673846,1.165996,0.679962,1.151957
16,1e-05,0.0,0.0,0.034038,0.599519,0.597644,1.385124,0.600519,1.379671
16,1e-05,0.0,0.0001,0.034038,0.599375,0.597404,1.385886,0.600308,1.380471
16,1e-05,0.3,0.0,0.034038,0.585481,0.582212,1.620299,0.585885,1.617531
16,1e-05,0.3,0.0001,0.034038,0.585288,0.582019,1.621450,0.585827,1.618694
32,0.01,0.0,0.0,0.040913,0.778606,0.778413,0.757539,0.800337,0.662029
32,0.01,0.0,0.0001,0.040913,0.781635,0.778510,0.750832,0.789000,0.698209
32,0.01,0.3,0.0,0.040913,0.735673,0.730048,0.928626,0.748731,0.851008
32,0.01,0.3,0.0001,0.040913,0.732163,0.733558,0.913160,0.737481,0.890253
32,0.001,0.0,0.0,0.040913,0.836442,0.839279,0.547785,0.861952,0.451820
32,0.001,0.0,0.0001,0.040913,0.845240,0.845337,0.515893,0.866375,0.437015
32,0.001,0.3,0.0,0.040913,0.809183,0.810577,0.654221,0.824404,0.601869
32,0.001,0.3,0.0001,0.040913,0.810433,0.807356,0.657950,0.820183,0.614075
32,0.0001,0.0,0.0,0.040913,0.790673,0.792548,0.719700,0.801981,0.686687
32,0.0001,0.0,0.0001,0.040913,0.790192,0.792356,0.723196,0.800808,0.691629
32,0.0001,0.3,0.0,0.040913,0.769760,0.770625,0.812614,0.774808,0.787652
32,0.0001,0.3,0.0001,0.040913,0.768558,0.768702,0.819101,0.772529,0.795180
32,1e-05,0.0,0.0,0.040913,0.661779,0.660962,1.192419,0.663548,1.180255
32,1e-05,0.0,0.0001,0.040913,0.661923,0.660913,1.193567,0.663212,1.181495
32,1e-05,0.3,0.0,0.040913,0.645577,0.643077,1.308884,0.646712,1.303122
32,1e-05,0.3,0.0001,0.040913,0.645337,0.642740,1.310338,0.646548,1.304630
64,0.01,0.0,0.0,0.035913,0.826683,0.828558,0.635470,0.850029,0.489376
64,0.01,0.0,0.0001,0.035913,0.830385,0.827163,0.593263,0.837404,0.525354
64,0.01,0.3,0.0,0.035913,0.795913,0.797837,0.705128,0.809760,0.617147
64,0.01,0.3,0.0001,0.035913,0.789904,0.792740,0.709580,0.796721,0.671670
64,0.001,0.0,0.0,0.035913,0.877933,0.877115,0.418243,0.910144,0.284350
64,0.001,0.0,0.0001,0.035913,0.879856,0.878846,0.401241,0.908125,0.292965
64,0.001,0.3,0.0,0.035913,0.861971,0.861875,0.468862,0.883385,0.376165
64,0.001,0.3,0.0001,0.035913,0.859327,0.860096,0.473622,0.875154,0.410939
64,0.0001,0.0,0.0,0.035913,0.846202,0.844567,0.529559,0.858683,0.480905
64,0.0001,0.0,0.0001,0.035913,0.845625,0.844231,0.533944,0.857058,0.487842
64,0.0001,0.3,0.0,0.035913,0.833750,0.835096,0.571054,0.843269,0.536907
64,0.0001,0.3,0.0001,0.035913,0.833221,0.834423,0.576720,0.842010,0.544317
64,1e-05,0.0,0.0,0.035913,0.698606,0.697596,1.070964,0.699644,1.058884
64,1e-05,0.0,0.0001,0.035913,0.698125,0.697596,1.072721,0.699346,1.060752
64,1e-05,0.3,0.0,0.035913,0.691923,0.688990,1.113316,0.691625,1.103961
64,1e-05,0.3,0.0001,0.035913,0.691394,0.688654,1.115237,0.691173,1.105964
